id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,brantner,Franziska Brantner,0,2,1979,1,4,1,2,,1,14047,4470,2747,26
ft,toncar,Florian Toncar,0,1,1979,1,4,2,3,1,3,8588,3069,4478,99
rss,sutter,Rita Schwarzelühr-Sutter,0,2,1962,1,5,3,1,2,2,4249,1534,2941,17
tl,lindner,Tobias Lindner,0,1,1982,2,4,3,2,,1,10503,3579,4920,kA
bs,strasser,Benjamin Strasser,0,1,1987,1,6,2,3,2,,5811,3920,3372,287
co,oezdemir,Cem Özdemir,0,1,1965,3,5,4,2,3,2,317191,105000,162574,kA
mat,theurer,Michael A. Theurer,0,1,1967,1,5,3,3,1,2,8478,3744,27913,kA
ck,kuehn,Chris Kühn,0,1,1979,1,7,1,2,,3,4786,1660,97,35
jb,brandenburg,Jens Brandenburg,0,1,1986,1,4,1,3,,0,5407,3321,kA,kA
mw,wirtschaft,Ministerium Wirtschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
mf,finanzen,Ministerium Finanzen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
mi,inneres,Ministerium Inneres,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aa,auswaertig,Auswärtiges Amt,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
mj,justiz,Ministerium Justiz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
me,ernaehrung,Ministerium Ernährung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
mv,verkehr,Ministerium Verkehr,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
mu,umwelt,Ministerium Umwelt,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
mb,bildung,Ministerium Bildung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dfpv,deutschfranzösisch,Deutsch-Französische Parlamentarische Versammlung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ep,parlament,Europäisches Parlament,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bt,bundestag,Deutscher Bundestag,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gruene,diegruene,Bündnis90/DIE GRÜNE,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kp,krisenpraevention,"Unterausschuss Krisenprävention, Konfliktbearbeitung und vernetztes Handeln",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ac,antonyscollege,European Studies Centre St Antony’s College in Oxford,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
unifem,frauenrechtsorganisation,UN-Frauenrechtsorganisation,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ec,europeancouncil,European Council on Foreign Relations,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bs,bertelsmann,Bertelsmann Sitftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fa,familienausschuss,"Ausschuss für Familie, Senioren, Frauen und Jugend",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aau,auswaertigerausschuss,Auswärtiger Ausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
eua,euausschuss,Ausschuss für die Angelegenheiten der Europäischen Union,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bgc,covid,Parlamentarisches Begleitgremium Covid-19-Pandemie,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
age,elyseevertrag,Deutsch-französische Arbeitsgruppe zum Elysee-Vertrag,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
jdc,jacques,Jacques Delors Centre,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
